yearID,lgID,franchID
1871,NA,BNA
1871,NA,CNA
1871,NA,CFC
1871,NA,KEK
1871,NA,NNA
1871,NA,PNA
1871,NA,ROK
1871,NA,TRO
1871,NA,OLY
1872,NA,BLC
1872,NA,ECK
1872,NA,BRA
1872,NA,BNA
1872,NA,CFC
1872,NA,MAN
1872,NA,NNA
1872,NA,PNA
1872,NA,TRO
1872,NA,OLY
1872,NA,NAT
1873,NA,BLC
1873,NA,MAR
1873,NA,BRA
1873,NA,BNA
1873,NA,RES
1873,NA,NNA
1873,NA,PNA
1873,NA,PWS
1873,NA,WBL
1874,NA,BLC
1874,NA,BRA
1874,NA,BNA
1874,NA,CNA
1874,NA,HNA
1874,NA,NNA
1874,NA,PNA
1874,NA,PWS
1875,NA,BRA
1875,NA,BNA
1875,NA,CNA
1875,NA,HNA
1875,NA,WES
1875,NA,NHV
1875,NA,NNA
1875,NA,PNA
1875,NA,PWS
1875,NA,CEN
1875,NA,SLR
1875,NA,SNA
1875,NA,WNT
1876,NL,ATL
1876,NL,CHC
1876,NL,CNR
1876,NL,HAR
1876,NL,LGR
1876,NL,NYU
1876,NL,ATH
1876,NL,SBS
1877,NL,ATL
1877,NL,CHC
1877,NL,CNR
1877,NL,HAR
1877,NL,LGR
1877,NL,SBS
1878,NL,ATL
1878,NL,CHC
1878,NL,CNR
1878,NL,IBL
1878,NL,MLG
1878,NL,PRO
1879,NL,BUF
1879,NL,ATL
1879,NL,CHC
1879,NL,CBL
1879,NL,CNR
1879,NL,PRO
1879,NL,SYR
1879,NL,TRT
1880,NL,BUF
1880,NL,ATL
1880,NL,CHC
1880,NL,CBL
1880,NL,CNR
1880,NL,PRO
1880,NL,TRT
1880,NL,WOR
1881,NL,BUF
1881,NL,ATL
1881,NL,CHC
1881,NL,CBL
1881,NL,DTN
1881,NL,PRO
1881,NL,TRT
1881,NL,WOR
1882,NL,BUF
1882,AA,BLO
1882,NL,ATL
1882,NL,CHC
1882,NL,CBL
1882,AA,CIN
1882,NL,DTN
1882,AA,LOU
1882,AA,PHA
1882,NL,PRO
1882,AA,PIT
1882,AA,STL
1882,NL,TRT
1882,NL,WOR
1883,NL,BUF
1883,AA,BLO
1883,NL,ATL
1883,NL,CHC
1883,NL,CBL
1883,AA,CBK
1883,AA,CIN
1883,NL,DTN
1883,AA,LOU
1883,NL,SFG
1883,AA,NYP
1883,AA,PHA
1883,NL,PHI
1883,NL,PRO
1883,AA,PIT
1883,AA,STL
1884,UA,ALT
1884,NL,BUF
1884,AA,BLO
1884,UA,BLU
1884,AA,LAD
1884,NL,ATL
1884,UA,BRD
1884,NL,CHC
1884,UA,CPI
1884,NL,CBL
1884,AA,CBK
1884,AA,CIN
1884,UA,COR
1884,NL,DTN
1884,AA,IHO
1884,UA,KCU
1884,AA,LOU
1884,UA,MLU
1884,NL,SFG
1884,AA,NYP
1884,AA,PHA
1884,NL,PHI
1884,UA,PHK
1884,NL,PRO
1884,AA,PIT
1884,AA,RIC
1884,AA,STL
1884,UA,SLM
1884,UA,STP
1884,AA,TOL
1884,UA,WIL
1884,AA,WST
1884,UA,WNA
1885,NL,BUF
1885,AA,BLO
1885,AA,LAD
1885,NL,ATL
1885,NL,CHC
1885,AA,CIN
1885,NL,DTN
